Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,4.7u,C77004
C10,0402,1,10n,C541371
"C11, C12",0402,2,10p,C106199
"C13, C5, C6",0402,3,100n,C71687
"C3, C4, C8, C9",0402,4,1u,C14445
C7,0402,1,10u,C77000
D1,0805,1,RED,C284871
"FB1, FB2",0805,2,600R,C1017
J1,PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x06,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,C190820
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,C234182
"R1, R2",0603,2,5.1k,C23186
R3,0805,1,470,C17710
R4,0805,1,2k,C17604
R5,0805,1,10k,C17414
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,C221675
"SW2, SW3",SW_SPDT_PCM12,2,SW_SPDT,C431540
U1,SOT-23-5,1,MCP73832-2-OT,C38066
U2,SOT-23-5,1,AP2112K-3.3,C23380830
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,LQFP-32_7x7mm_P0.8mm,1,STM32G431KBTx,C529357
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C112972
